Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 23.33      0.07     0.07                             main
 10.00      0.10     0.03 35105896     0.00     0.00  std::_Base_bitset<6ul>::_S_whichbit(unsigned long)
 10.00      0.13     0.03 15168384     0.00     0.00  std::bitset<361ul>::reference::reference(std::bitset<361ul>&, unsigned long)
 10.00      0.16     0.03  4753760     0.00     0.00  std::bitset<361ul>::test(unsigned long) const
 10.00      0.19     0.03                             _init
  6.67      0.21     0.02 19937512     0.00     0.00  std::_Base_bitset<6ul>::_S_maskbit(unsigned long)
  6.67      0.23     0.02 19937512     0.00     0.00  std::_Base_bitset<6ul>::_S_whichword(unsigned long)
  6.67      0.25     0.02  4761244     0.00     0.00  std::_Base_bitset<6ul>::_M_getword(unsigned long) const
  3.33      0.26     0.01 15176268     0.00     0.00  std::_Base_bitset<6ul>::_M_getword(unsigned long)
  3.33      0.27     0.01 15168384     0.00     0.00  std::bitset<361ul>::operator[](unsigned long)
  3.33      0.28     0.01  6365304     0.00     0.00  std::bitset<361ul>::reference::operator=(std::bitset<361ul>::reference const&)
  3.33      0.29     0.01  1218888     0.00     0.00  std::bitset<361ul>::reference::operator bool() const
  3.33      0.30     0.01     1720     0.01     0.01  std::__new_allocator<std::_Rb_tree_node<Heuristic> >::deallocate(std::_Rb_tree_node<Heuristic>*, unsigned long)
  0.00      0.30     0.00 15168384     0.00     0.00  std::bitset<361ul>::reference::~reference()
  0.00      0.30     0.00  4761644     0.00     0.00  std::bitset<361ul>::_M_check(unsigned long, char const*) const
  0.00      0.30     0.00  4761244     0.00     0.00  std::bitset<361ul>::_Unchecked_test(unsigned long) const
  0.00      0.30     0.00  1330034     0.00     0.00  Board::isPosEmpty(int, int) const
  0.00      0.30     0.00  1218888     0.00     0.00  Board::swapBits(std::bitset<361ul>&, int, int)
  0.00      0.30     0.00  1218888     0.00     0.00  std::bitset<361ul>::reference::operator=(bool)
  0.00      0.30     0.00  1167213     0.00     0.00  Board::getPos(int, int) const
  0.00      0.30     0.00   945236     0.00     0.00  std::__shared_ptr<Board, (__gnu_cxx::_Lock_policy)2>::get() const
  0.00      0.30     0.00   163585     0.00     0.00  checkDoubleThree(Board&, int, int, int, int, int)
  0.00      0.30     0.00    69812     0.00     0.00  Heuristic::counterAnalysis(int, bool, int, int, int)
  0.00      0.30     0.00    43667     0.00     0.00  Heuristic::checkCapture(int, int, int, int, int)
  0.00      0.30     0.00    27040     0.00     0.00  std::char_traits<char>::eq(char const&, char const&)
  0.00      0.30     0.00    25368     0.00     0.00  std::_Base_bitset<1ul>::_S_whichbit(unsigned long)
  0.00      0.30     0.00    20000     0.00     0.00  emptyNeighbour(Board const&, int, int)
  0.00      0.30     0.00    18738     0.00     0.00  Heuristic::getHeuristic() const
  0.00      0.30     0.00    17884     0.00     0.00  std::_Base_bitset<1ul>::_M_getword(unsigned long)
  0.00      0.30     0.00    17884     0.00     0.00  std::_Base_bitset<1ul>::_S_maskbit(unsigned long)
  0.00      0.30     0.00    16640     0.00     0.00  std::_Rb_tree<Board::PatternType, std::pair<Board::PatternType const, std::bitset<4ul> >, std::_Select1st<std::pair<Board::PatternType const, std::bitset<4ul> > >, std::less<Board::PatternType>, std::allocator<std::pair<Board::PatternType const, std::bitset<4ul> > > >::_M_get_Node_allocator()
  0.00      0.30     0.00    16640     0.00     0.00  std::pair<Board::PatternType, std::bitset<4ul> >&& std::forward<std::pair<Board::PatternType, std::bitset<4ul> > >(std::remove_reference<std::pair<Board::PatternType, std::bitset<4ul> > >::type&)
  0.00      0.30     0.00    15461     0.00     0.00  checkCapture(Board const&, int, int, int, int, int)
  0.00      0.30     0.00    15041     0.00     0.00  std::_Base_bitset<1ul>::_M_do_to_ulong() const
  0.00      0.30     0.00    15041     0.00     0.00  std::bitset<4ul>::to_ulong() const
  0.00      0.30     0.00    14560     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<Board::PatternType const, std::bitset<4ul> > >::_M_ptr()
  0.00      0.30     0.00    14560     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<Board::PatternType const, std::bitset<4ul> > >::_M_addr()
  0.00      0.30     0.00    14560     0.00     0.00  std::_Rb_tree_node<std::pair<Board::PatternType const, std::bitset<4ul> > >::_M_valptr()
  0.00      0.30     0.00    14040     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<Board::PatternType const, std::bitset<4ul> > >::_M_ptr() const
  0.00      0.30     0.00    14040     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<Board::PatternType const, std::bitset<4ul> > >::_M_addr() const
  0.00      0.30     0.00    14040     0.00     0.00  std::_Select1st<std::pair<Board::PatternType const, std::bitset<4ul> > >::operator()(std::pair<Board::PatternType const, std::bitset<4ul> > const&) const
  0.00      0.30     0.00    14040     0.00     0.00  std::_Rb_tree_node<std::pair<Board::PatternType const, std::bitset<4ul> > >::_M_valptr() const
  0.00      0.30     0.00    14040     0.00     0.00  std::_Rb_tree<Board::PatternType, std::pair<Board::PatternType const, std::bitset<4ul> >, std::_Select1st<std::pair<Board::PatternType const, std::bitset<4ul> > >, std::less<Board::PatternType>, std::allocator<std::pair<Board::PatternType const, std::bitset<4ul> > > >::_S_key(std::_Rb_tree_node<std::pair<Board::PatternType const, std::bitset<4ul> > > const*)
  0.00      0.30     0.00    13520     0.00     0.00  std::_Rb_tree_iterator<std::pair<Board::PatternType const, std::bitset<4ul> > >::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.00      0.30     0.00    12480     0.00     0.00  std::less<Board::PatternType>::operator()(Board::PatternType const&, Board::PatternType const&) const
